state,mean_percent,min_current_votes
Delaware,97.94333333333333,85415
Indiana,98.52909090909091,3459
Missouri,98.13928571428572,1095
Montana,99.42982142857143,350
New Hampshire,98.62324786324787,5
North Carolina,99.6015625,1802
North Dakota,92.52283018867925,385
Utah,95.62,585
Vermont,98.74255144032921,43
Washington,99.73222222222222,1457
West Virginia,97.10063829787234,2544
